# GuessTheSongYear — Music Video Database
# Format: videoId,year,title
# Lines starting with # are ignored. Blank lines are ignored.
# One videoId per line.
# -- Fallback videos from original codebase --
# -- Additional popular music videos (years 1960-2024) --
# Pop classics
# Rock / Alternative
# Hip-Hop / R&B
# Dance / Electronic
# -- Classical / Pop from earlier decades --
# 1960s
# 1970s
# Auto-updated: 619 entries (548 new)
# Format: videoId,year,title
# Generated by scripts/refresh_videos.py
# Auto-updated: 782 entries (163 new)
# Format: videoId,year,title
# Generated by scripts/refresh_videos.py

nmjdaBaZe8Y,2003,Chris Brown - With You (Official HD Video)
WpYeekQkAdc,2003,The Black Eyed Peas - Where Is The Love? (Official Music Video)
5D3crqpClPY,2003,50 Cent - Many Men (Wish Death) (Dirty Version)
RSNmgE6L8AU,2003,Keane - Everybodys Changing (Official Music Video)
n3htOCjafTc,2004,Nelly - Over And Over (Official Music Video) ft. Tim McGraw
t5XNWFw5HVw,2004,Usher - Burn (Official Video)
Soa3gO7tL-c,2004,Green Day - Boulevard Of Broken Dreams [Official Music Video] [4K Upgrade]
0habxsuXW4g,2004,Mariah Carey - We Belong Together (Official Music Video)
iBHNgV6_znU,2004,Ciara - 1, 2 Step (Official Video) ft. Missy Elliott
iAP9AF6DCu4,2004,The Calling - Wherever You Will Go (Official Video)
H64QG4UsrGI,2004,Mario - Let Me Love You (Official Video)
u7u7FlrN7bc,2004,Jennifer Lopez, Pitbull - On The Floor (Lyrics)
t4H_Zoh7G5A,2004,Jennifer Lopez, Pitbull - On The Floor (Official Music Video)
gPDcwjJ8pLg,2005,The All-American Rejects - Dirty Little Secret (Official Music Video)
8XNaPX6MKlU,2005,Mary J. Blige - Be Without You (Official Music Video)
K1uNjmxJQUo,2005,The Pussycat Dolls - Stickwitu (Official Music Video) ft. Avant
dW2MmuA1nI4,2005,Sean Paul - Temperature (Official Video)
CtwJvgPJ9xw,2005,Chamillionaire - Ridin (Official Music Video) ft. Krayzie Bone
bMoNV9oWs2E,2005,Sean Paul - Give It Up To Me (feat. Keyshia Cole) [Official Video]
h_m-BjrxmgI,2005,Plain White Ts - Hey There Delilah
RiSfTyrvJlg,2005,Hinder - Lips Of An Angel (Official Music Video)
EDwb9jOVRtU,2005,Madonna - Hung Up (Official Video) [HD]
h_D3VFfhvs4,2005,Michael Jackson - Smooth Criminal (Official Video)
phaJXp_zMYM,2005,The Notorious B.I.G. - Big Poppa (Official Music Video)
9PBZy9j3H3I,2005,Keyshia Cole - Love (Alt. Version) (Official Music Video)
2EwViQxSJJQ,2006,Beyoncé - Irreplaceable
ZSM3w1v-A_Y,2006,Timbaland - Apologize ft. OneRepublic
QrOe2h9RtWI,2006,Beyoncé, Shakira - Beautiful Liar
TJAfLE39ZZ8,2006,Amy Winehouse - Back To Black
TOrnUquxtwA,2006,What Goes Around...Comes Around (Official Video)
bKDdT_nyP54,2006,Akon - Smack That (Official Music Video) ft. Eminem
-N4jf6rtyuw,2006,Gnarls Barkley - Crazy (Official Video) [4K Remaster]
RgoiSJ23cSc,2006,Timbaland - Give It To Me (Official Music Video) ft. Nelly Furtado, Justin Timberlake
U5rLz5AZBIA,2006,Timbaland - The Way I Are ft. Keri Hilson, D.O.E., Sebastian
CvBfHwUxHIk,2007,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAŸ-Z
rJYcmq__nDM,2007,Rihanna - Rehab (Official Music Video) ft. Justin Timberlake
LdJps8LBKLE,2007,Aly & AJ - Potential Break Up Song
qi7Yh16dA0w,2007,Sara Bareilles - Love Song (Official HD Video)
5sMKX22BHeE,2007,Chris Brown - Forever (Official HD Video)
J3UjJ4wKLkg,2007,Rihanna - Take A Bow
bqpA5Acc8-c,2007,Aly & AJ - Potential Breakup Song (Closed-Captioned)
rywUS-ohqeE,2007,Alicia Keys - No One (Official Music Video)
2Abk1jAONjw,2008,Lady Gaga - Just Dance (Official Music Video) ft. Colby ODonis
6J1-eYBbspA,2008,David Archuleta - Crush (Official Video)
bnVUHWCynig,2008,Beyoncé - Halo
z_aC5xPQ2f4,2008,Ne-Yo - Closer [Official Video]
T2mtyxSAt6w,2008,2008 Music Memories - Nostalgic Songs With Good Vibes ( Katy Perry, Akon, Lady Gaga, Florida)
dvgZkm1xWPE,2008,Coldplay - Viva La Vida (Official Video)
fhMlSITt7hU,2008,Chris Brown - Superhuman (Official HD Video) ft. Keri Hilson
I7HahVwYpwo,2009,The Black Eyed Peas - Meet Me Halfway (Official Music Video)
kVpv8-5XWOI,2009,Train - Hey, Soul Sister (Official Video)
H1Yt0xJKDY8,2009,Mariah Carey - Obsessed (Official Music Video)
N6O2ncUKvlg,2009,Nelly - Just A Dream (Official Music Video)
pD8mxge6kek,2009,Usher - Hey Daddy (Daddys Home) (Official Video)
LXUSaVw3Mvk,2009,Justin Bieber - One Less Lonely Girl
LjhCEhWiKXk,2009,Bruno Mars - Just The Way You Are (Official Music Video)
c9kIsJ15DsM,2010,its summer 2010, and you are on roadtrip ~throwback playlist
7m5mYiMkKS8,2010,best songs of the decade 2010-2019 ~back to 2010s ~throwback vibes playlist
HL_9LIiGgj0,2010,Best Pop Songs Playlist | 2000s & 2010s Pop Hits
qDa9F5A8Q7Q,2010,2010s summer vibes mix ~nostalgia playlist
s5wWW7DuVLA,2010,back to 2010s ~throwback playlist ~2010s nostalgia vibes mix
HG17RVdpUvY,2010,4K | Top Hits 2010–2020 | Best Songs of the Decade | NO ADS
Bk5_aL3y4ig,2010,🎉 Pop Party Hits Mix #03 | Middle 2000s & Early 2010s Mix - Dj StarSunglasses
uBTp7O_bGIs,2010,Top Hits 2010–2020 | Best Songs of the Decade | 4K (NO ADS) #topsongs #popmusic
IXuCdmfa4y4,2010,its 2010 and youre on a road trip | 2010s nostalgia playlist
aNSiNYb4c9c,2010,its 2010s and you are you are in club at party with your friends ~throwback playlist
8blc9BCFZC8,2010,2010s party vibes ~club nostalgia playlist
ctnSo-wHqnE,2010,ULTIMATE 2010s SONG QUIZ 🎸 🎵 GUESS THE 100 MOST ICONIC SONGS FROM THE 10s | Song Quiz
kEnw1LCwk7k,2010,2010s summer songs mix ~nostalgia vibes playlist
Q0aipqRPyAA,2010,THROWBACK {CLEAN} 2010S POP MUSIC HITS MIXTAPE | NICKI MINAJ,RIHANNA,CHRIS BROWN,PITBULL,NEYO,ETC
Jh8n9jz_-s0,2010,Dance party songs ~ Throwback 2010s songs ~ Songs to sing and dance
EgT_us6AsDg,2011,Selena Gomez & The Scene - Love You Like A Love Song
_wmD3M-BfVo,2011,T-Pain - Best Love Song (Official Video) ft. Chris Brown
nmcdLOjGVzw,2011,MIKA - Popular Song ft. Ariana Grande
HTI-wDJ1zTI,2011,Recap of all the songs from the 2011 Eurovision Song Contest Final
-04pUETT7oI,2011,Eric Saade - Popular (Sweden) - Live - 2011 Eurovision Song Contest Final
NID-2orTN8U,2011,The Weeknd - Same Old Song
egX9ZDaIrkU,2011,311 - Love Song (Official Video)
4Kz01eyOVzM,2011,Eric Saade - Popular (Sweden) - Music Video - 2011 Eurovision Song Contest
UhIte8t6BEg,2011,DECADE OF POP • 100 Song Mashup | DJ Earworm (aka Celebrate the Good Times )
Rl-_ZmNCOvo,2011,Black Veil Brides - Rebel Love Song (Explicit)
ZPNqub966Tw,2011,Stephanie Mabey - The Zombie Song (Lyric Video)
LupeGtJ3a3E,2011,Selena Gomez & The Scene - Love You Like A Love Song (Official Audio)
lbaVbgbeKaI,2011,The One That Got Away
RoLTPcD1S4Q,2012,The Shins - Simple Song (Official Video)
Y34jC4I1m70,2012,2 Chainz - Birthday Song ft. Kanye West (Official Music Video) (Explicit Version)
sf6LD2B_kDQ,2012,Lindsey Stirling - Elements (Dubstep Violin Original Song)
dn6_etjYdnY,2012,Popular Song
3B4aevUeaWY,2012,Gummibär - Bubble Up - Song and Dance - The Gummy Bear
9a4izd3Rvdw,2012,Challa | Full Song | Jab Tak Hai Jaan | Shah Rukh Khan, Katrina Kaif | Rabbi | A. R. Rahman | Gulzar
PKjApxwIvF4,2012,Best EDM Songs & Remixes Of All Time | Electro House Party Music Mix 2018
aHjpOzsQ9YI,2012,Lindsey Stirling - Crystallize (Dubstep Violin Original Song)
Skhw1BT1BR8,2012,Machine Gun Kelly - Her Song Official Music Video
vswg-xXMAys,2012,The Formula Behind Every Perfect Pop Song
UeMVCn3ABbI,2013,Billboard Hot 100 - No.1 Hits Songs Of 2013
HJMapA8WgYw,2013,Pop Danthology 2013 - Mashup of 68 songs!
PIh2xe4jnpk,2013,MAGIC! - Rude (Official Video)
D8r4WHfaCBE,2013,i bet you know all these songs ~2013 throwback nostalgia playlist
nlcIKh6sBtc,2013,Lorde - Royals (US Version)
Z8eXaXoUJRQ,2013,Selena Gomez - Slow Down (Official)
IcrbM1l_BoI,2013,Avicii - Wake Me Up (Official Video)
Sv6dMFF_yts,2013,Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO]
_QY_QblgBn0,2013,HOT SPOTIFY PLAYLIST 2022  - BEST EDM SONGS OF ALL TIME - MOST POPULAR EDM MUSIC PLAYLIST
uuZE_IRwLNI,2013,Justin Timberlake - Mirrors (Official Video)
QK8mJJJvaes,2013,MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO)
AByfaYcOm4A,2013,Demi Lovato - Heart Attack (Official Video)
xo1VInw-SKc,2014,Rachel Platten - Fight Song (Official Video)
TGtWWb9emYI,2014,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Olodum Mix)
Yz2658gzOuM,2014,INNA - Cola Song (feat. J Balvin) | Official Music Video
_MOavH-Eivw,2014,Maddie & Tae - Girl In A Country Song (Official Music Video)
nH7bjV0Q_44,2014,Hozier - Work Song (Official Video)
yahJBd8zyfs,2014,Anna Kendrick - Cup-Song (Larissa) | The Voice Kids 2014 | Blind Audition | SAT.1
hmjlQ4vPt4c,2014,J STAR | HULARA | Full Official Music Video | Blockbuster Punjabi Song 2014
Vny_75WmEH4,2014,Exclusive: Dheere FULL VIDEO Song | Zack Knight | T-Series
lFQdcPTTzSg,2014,Dai Dai
_ds3MvMUdNk,2014,Best Patriotic Song - Mr Red White and Blue - Coffey Anderson (On All Platforms)
SNV0zr00eZI,2014,The Break Up MashUp Full Video Song 2014 | DJ Chetas
JV2s0UIPOQY,2014,How To Make A Hit Pop Song, Pt. 1 (2014)
INA3rR3gxNI,2015,Top 200 Songs From 2015 To 2022
3nHQFRGqcqc,2015,COOL FOR 2015 | Year End Mashup (94 Top Songs of 2015)
pXRviuL6vMY,2015,twenty one pilots: Stressed Out [OFFICIAL VIDEO]
XFtrgREKF64,2015,Songs that bring you back to summer 2016!
uxpDa-c-4Mc,2015,Drake - Hotline Bling
09R8_2nJtjg,2015,Maroon 5 - Sugar (Official Music Video)
VbfpW0pbvaU,2015,Shawn Mendes - Stitches (Official Music Video)
KlyXNRrsk4A,2015,Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video)
yzTuBuRdAyA,2015,The Weeknd - The Hills
95a0THw88Bg,2015,Best Remixes Of Popular Songs 2015 Charts Mix 2016 | New Pop Music Playlist | Top 100 Dance Hits
1JKFcYk4nrg,2016,POV: It’s 2016 Again 🎶 | Nostalgia Hits
kdDpXIEushk,2016,[playlist] 2026 is the new 2016 | Justin Bieber, The Chainsmokers, Martin Garrix, Zedd and more
FKu_pXj3chU,2016,2016 summer vibes playlist
WA47E5Hm8nc,2016,2016 summer vibes ~ nostalgia playlist ~ 2016 throwback mix
TuIJoRoI6rg,2016,2016 throwback mix ~nostalgia playlist ~2016 road trip vibes
rbYfNp0v0ww,2016,2016 summer vibes playlist pt2
5-8J5RGzst8,2016,POV: You Wake Up In 2016: Playlist
jELFt-P0GTs,2016,2026 = 2016: A Playlist
BYyvWiu03aA,2016,top 50 most streamed songs from 2016
kOkQ4T5WO9E,2016,Calvin Harris, Rihanna - This Is What You Came For (Official Video)
FF61KNowFK0,2016,A NIGHT IN 2016 ✨ R&B & Hip-Hop Throwback Mix (Drake, Rihanna, Fetty Wap, Ariana) | Hello Vee
SzaLaMNpubw,2016,2026 is the new 2016...playlist
jGflUbPQfW8,2016,OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records]
RsELrcVNzG0,2017,Rita Ora - Your Song [Official Video]
qgy7vEje5-w,2017,Little Mix - Secret Love Song (Official Video) ft. Jason Derulo
Jyst8oIHOAY,2017,Mercy - Badshah Feat. Lauren Gottlieb | Official Music Video | Latest Hit Song 2017
_quu68XXHEs,2017,DONT CALL ME A NOOB SONG (Official Roblox Music Video)
zAU_rsoS5ok,2017,Raabta Title Song (Full Video) | Deepika Padukone, Sushant Singh Rajput, Kriti Sanon | Pritam, Jam 8
K6DSMZ8b3LE,2017,Seven Continents Song
zXLgYBSdv74,2017,Ik Vaari Aa Full Song | Raabta | Sushant Singh Rajput & Kriti Sanon | Pritam Arijit Singh Amitabh B
HAMSE8VDpYU,2017,Sukhe: Superstar Song (Official Video) Jaani | New Song 2017 | T-Series
2ll4IA146YI,2017,Hawa Hawa (Full Video Song) | Mubarakan | Anil Kapoor, Arjun Kapoor, Ileana D’Cruz, Athiya Shetty
CtgD91Ev4NU,2017,Rozana Full Video Song | Naam Shabana | Akshay Kumar, Taapsee Pannu, Taher Shabbir I Shreya, Rochak
LIG3Yl5pZ1Y,2017,Bhul Jayi Na (Full Song) | Sharry Maan | Latest Punjabi Song 2017 | Speed Records
0zz172zODiY,2017,Vivegam - Surviva Official Song Video | Ajith Kumar | Anirudh | Siva
6tpLUszWs9M,2017,Time Table Official Video Song - Kulwinder Billa - Punjabi Popular Songs - Moviebox Record Label
rbucc-PCUqM,2018,Rewind | Top 2018 Songs - Remixed! ft Zombies | Disney Channel UK
rz4Dd1I_fX0,2018,The Periodic Table Song (2018 Update!) | SCIENCE SONGS
uwIIVeGq4Xg,2018,Kaash Paige - Love Songs  (Official Music Video)
_D1GI9x7aHA,2018,COLLEGE KIDS REACT TO TOP 10 SONGS OF 2018 (Billboard Hot 100)
q6qmIBdxOEI,2018,Baby Shark and more | Best Songs of 2018 | +Compilation | Pinkfong Songs for Children
AOn7mwOsohs,2018,Do Parents Know Their Teens Favorite 2018 Songs? | React: Do They Know It?
ggJMQHltiQc,2018,Diamond | Official Music Video | Gurnam Bhullar | Roopi Gill | Songs 2018 | Jass Records
5-MbjJVq_HI,2018,ALL Vivo Sing Along Songs & Music Videos 🎶🐵 Netflix Jr
UGHuPXyVvjs,2018,🎵442oons TOP 10 SONGS - 2017/2018🎵
S-ezhTXPVGU,2018,SAKHIYAAN (Full Song) Maninder Buttar | MixSingh | Babbu | Punjabi Songs | Sakhiyan | Ishtar Punjabi
ZP9Y9ARSljg,2018,UNDERESTIMATE - Geeta Zaildar (Official Video) Gurlez Akhtar | Karan Aujla | Latest Punjabi Songs
npKD1bHZyJs,2018,Deep Money: Zeher Video Song Feat. Bohemia | New Songs 2018 | T-Series
8a3AmaYXQ_s,2018,Tiktok Mashup July 🍓2026🍓 (Not Clean) - If you know These Songs your a genius! 🧠❤️
kO8fTk6oKQg,2019,Dua Lipa - Swan Song (From Alita: Battle Angel) [Official Music Video]
PXb58im7qDY,2019,Pecos & The Rooftops - This Damn Song (Official Video)
BBAyRBTfsOU,2019,Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil DSouza | Bhushan Kumar | Radhika R, Vinay S
hPI6HIZTZXA,2019,Come Back Daniel Song - Spy Ninjas (Official Music Video)
zuaLWHiRXkg,2019,Hook Up Song -  Student Of The Year 2 | Tiger Shroff & Alia Bhatt | Vishal & Shekhar | Neha Kakkar
TRa9IMvccjg,2019,DILBAR Full Song | Satyameva Jayate | John Abraham Nora Fatehi | Tanishk B Neha Kakkar Ikka Dhvani
S2RYBkcAkVQ,2019,Kaash Aisa Hota - Darshan Raval | Official Video | Latest Hit Song 2019 | Naushad Khan
UZTNacSnivw,2019,Bollywood Dance Hits - Kala Chashma, Tareefan, Makhna, Hook Up Song, Pallo Latke, Zingaat & More
Tnzv9R-1hao,2019,Common Song - Share The Joy - Junior Eurovision 2019
QOUvmBggw_Y,2019,The Wakhra Song - Judgementall Hai Kya |Kangana R & Rajkummar R|Tanishk,Navv Inder,Raja Kumari
5X7WWVTrBvM,2019,Lamberghini (Full Video) | The Doorbeen Feat Ragini | Latest Punjabi Song 2018 | Speed Records
_P3R63mmakg,2019,She Dont Know: Millind Gaba Song | Shabby | New Hindi Song 2019 | Latest Hindi Songs
caySD0OJJvk,2019,Lyrical | Ghungroo Full Song | WAR | Hrithik, Vaani, Arijit Singh, Shilpa | Vishal & Shekhar, Kumaar
752UOd0EcL0,2019,TOMMY - SHADAA | Diljit Dosanjh | Sonam Bajwa | Raj Ranjodh | Latest Punjabi Song 2019
uBDyLEYk-BU,2020,The Top Ten Best Hit Songs of 2020
_Xw1Ch4AKhs,2020,Top 100 Most Streamed Songs of the 2020s (Spotify)
b-bK2Vn3D38,2020,Best Radio 1 POP Hits [ 24/7 Live ] Best of POP 2026 Songs | 2026 Pop Playlist | Hits Music
IbyT8lEKKaw,2020,POPULAR Songs in 2010 vs 2020
dFpryVMgni0,2020,Axis of Awesome - All Popular Songs Are The Same 4 Chords
wbNAiN8FTfc,2020,Floor Is Lava Song - THE KIBOOMERS Preschool Songs - Freeze Dance
j_mSiTdWJ1Q,2020,Top 10 Songs to Get Everyone on the Dance Floor
4YOPv9xL5ls,2020,Trolls World Tour (2020) - All the Pop Songs Scene (3/10) | Movieclips
nNCWKja8oxw,2020,Happy New Year! 2020 | Bollywood Party Super-Hit Songs | T-SERIES | Video Jukebox
FN0X3WK5oO8,2020,Top Acoustic Cover Of Popular Love Songs ❤️ Best Acoustic Love Songs Cover Playlist 2026  Hits
DOOVHQTRnJM,2020,Top 20 Greatest Cover Songs Of All Time
36YnV9STBqc,2020,The Good Life Radio • 24/7 Live Radio | Best Relax House, Chillout, Study, Running, Gym, Happy Music
0CmcaWyzPtM,2020,New Year Party Hits 2026 - Full Album |Top 20 Songs| Burjkhalifa, Kala Chashma & More | Dance Hits
c36Tn97cNPg,2020,Tiktok Mashup July  💖💛💜2026 🧡💙💛(Not Clean ) - If you know These Songs your a genius! 🧠💘💘💘
EW1dT17UAA4,2021,The Best Songs of 2021 🔥  Music Party Club Dance 2022 | Best Remixes Of Popular Songs 2021 MEGAMIX
LPndzcSY8Ug,2021,BIGGEST SONG EACH YEAR FOR 100 YEARS (1921-2021)
VSbbuolS4eA,2021,Guess the 2021 Song Music Quiz | Top 40 Songs of 2021
kKaF-sjG06g,2021,Party Songs Mix 2026 | Best Club Music Mix 2025 | EDM Remixes & Mashups Of Popular Songs 🔥
4D89Qr5vH6U,2021,Toosii - Favorite Song (Official Video)
SC7XrlhRTco,2021,Sweet Dreams ♫ Remixes of Popular Songs ♫ Best Music 2021, Bass Boosted, Car Music Mix
2Z8L4Qed8F8,2021,Anne-Marie & Niall Horan - Our Song [Official Video]
0g8_Jd49No4,2021,Just Dance 2021: Full Song List | Ubisoft [US]
ha5Xm1GkX60,2021,New Songs Alan Walker (Remix) - Top Alan Walker Style 2020 - Animation Music Video [GMV]
u6FU4wPI-ng,2021,OFFICIAL RECAP: All 39 songs of the Eurovision Song Contest 2021
bi5PhlIQpwU,2021,Nadiyon Paar - Nadiyon Paar - Full Song | Roohi | Janhvi Kapoor | Sachin-Jigar | Shamur | Rashmeet K
H5v3kku4y6Q,2022,Harry Styles - As It Was (Official Video)
Lomnl3Ri6aY,2022,Best Remixes of Popular Songs 🔊 Music Mix 2022 🎵 EDM Best Music Mix 🎧
s9qGWcDG3Po,2022,Instrumental Pop Songs 2022 | Study Music (2 Hours)
VAlANIn2CIg,2022,Top Guitar Covers of Popular Songs 2022 - Best Instrumental Music For Work, Study, Sleep
-Fmr8g6KhEM,2022,The Top Ten Best Hit Songs of 2022
5G7sA9slT9o,2022,Viral songs 2022 🥟 Tiktok songs that are actually good...
DzK0kamyMuE,2022,TikTok Viral Songs Music Quiz 2022 | Guess the TikTok Song
sg9OsWVUIls,2022,Acoustic Covers Of Popular Songs 100 Hits
Ii1Et2bCgnI,2022,🎶Top 100 Trending Music Spotify 2026 || Positive Vibes and Chill Vibes English Songs -- Viral Tiktok
euzp5E8pd9I,2022,Mashups & Remixes Of Popular Songs 2022 - PARTY MIX 2022 | Club Music Mix 2022 🎉
BNUzqkJAQB8,2022,The Top Ten Worst Hit Songs of 2022
IpjkUAtTRTU,2022,Best Mashups Of Popular Songs | Best Club Music Mix 2022 #13 (Live Birthday Special🎁🎉)
mhLzI91Le5U,2022,Car Music Mix 2022 🔥 Best Remixes of Popular Songs 2022 & EDM, Bass Boosted
sA63S8uFeJI,2022,Tiktok Mashup July  💖💛💜2026 🧡💙💛(Not Clean ) - If you know These Songs your a genius! 🧠💘💘💘
sx_NDOkEHN4,2022,Top Violin Covers of Popular Songs 2022 - Best Instrumental Violin Covers Songs All Time
rRaVGKk4k6k,2023,Mae Muller - I Wrote A Song
Z9VcKXZuxio,2023,My TOP 7 Favorite Worship Songs for 2023 (MUSIC VIDEO)
uZoVJPrHZDE,2023,Party Summer Music Mix 2026 | DJ Club Dance Music 2026 | Best Remixes of Popular Songs 2026 MEGAMIX
aCu8kjKTIgQ,2023,DJ CLUB MIX 2026 - Remixes & Mashups of Popular Songs 2026 | Pitbull, Florida, Nickiminaj, Rihanna
t9R6D127q1U,2023,The 10 Most Recent Winners of the Eurovision Song Contest: 2013 - 2023
SodI8fo4uYQ,2023,NDP 2023 Theme Song - Shine Your Light [Official Music Video]
WLEJfVj07kw,2023,Exotic Bass House 🎧 Remixes Of Popular Songs 🎧 Mafia Music Mix 2023
rSxTumD4kew,2023,CALIFORNIA LOVE (Official Video) Cheema Y | Gur Sidhu | Punjabi Song 2023
60HKSnQJqtU,2023,Party Summer Music Mix 2026 | DJ Club Dance Music 2026 | Best Remixes of Popular Songs 2026 MEGAMIX
4DfVxVeqk2o,2023,52 Bars  (Official Video) Karan Aujla | Ikky | Four You EP | First Song | Latest Punjabi Songs 2023
xhrZ2FtlOlY,2023,YAHAMA - Official Video | Shree Brar | Dev Kharoud | Prince Kanwaljeet | Punjabi Song 2023
6J0DzHkAzoM,2024,Music Mix 2024 🎧 Remixes of Popular Songs 🎧 EDM Bass Boosted Music Mix
z6a5HmE8_U8,2024,PARTY MIX 2024 - Mashups & Remixes Of Popular Songs 2024 | DJ Dance Party Remix Music Mix 2024 🎉
hOyn0bCydZo,2024,Summer songs to dance ~ Best songs that make you dance
TgiRkTG5VEM,2024,MASHUP MIX 2024 - Mashups & Remixes Of Popular Songs 2024 | EDM Best Dj Dance Party Mix 2023 🎉
eqmU0-Br5z8,2024,SUMMER PARTY MIX 2024 - Mashups & Remixes of Popular Songs 2024 | DJ Club Music Party Mix 2023 🥳
g-epyEPq5uE,2024,CLUB MUSIC MIX 2025 🔥| Best Mashups Of Popular Songs 2024 [50K Subscribers | DJ 3 HOURS MIX]
Al0l86F6bXg,2024,Dubstep Mix 2024 | The Best Remixes Of Popular Songs
7J653nwumcw,2024,Party music mix ~ Best songs that make you dance
1d4mQHvJXhU,2024,DANCE REMIX SONGS 2024 - Mashups & Remixes Of Popular Songs 2023 | Dj Club Music Remix Mix 2023 🎉
LaafZT03Mc0,2024,New Love Songs 2020 | Love Songs Greatest Hits Playlist 2020 | Most Beautiful Love Songs 2020
fImi5dqRd6g,2024,DJ Party Summer Music Mix 2026 - Remixes & Mashups of Popular Songs 2026 | Dj Club Dance Music 2025
_T8vayGWIWo,2024,Best Popular Piano Covers of Popular Songs 2023 - Most Beautiful Piano Love Songs - Pop Songs 2023
fTKqtvXjkvo,2025,Top Hits 2026 ~ Trending Songs 2026 ~ Top Songs 2026 Top Music 🎶🎧
E0Y8OEo_zOc,2025,Pop Music 2025 - Top Pop Songs 2025 - Billboard Top 100 🎧🔥 Justin Bieber Billie Eilish Miley Cyrus
vp2ZoXIFJfw,2025,Top Hits 2025 ~ Top Music Playlist 2025 ~ Top Songs 2025 🎶🎧
UN5t2BxBUos,2025,Top Hits 2025 Playlist 🎧 New Songs 2025 🎶 Trending Spotify Hits Mix 🎤 Tiktok Viral Songs
qr8sDWDpJic,2025,SZA, Billie Eilish, Adele, Sam Smith, Teddy Swims, Morgan Wallen | Best Hits Mix 2025
k5jAV3VHr_4,2025,Top Songs Cover 2026 🎙️ Hot Hit Music Pop Playlist ✨Pure Tracks
F7VCkefRMMY,2025,Billboard Pop Songs 2025 Playlist ✨Ed Sheeran, The Weeknd, Bruno Mars, Rihanna, Sia, Adele, Dua Lipa
WBy8ETk_Fqs,2025,Spotify Pop Hits 2026 ♫ Lady Gaga, Bruno Mars, Ed Sheeran, Billie Eilish, Miley Cyrus, Tate McRae#13
nXeEQTnfljo,2025,Spotify Pop Hits 2025 🔥 Lady Gaga, Bruno Mars, Ed Sheeran, Billie Eilish, Miley Cyrus, Tate McRae #1
-CXDKsZY80I,2025,Top 20 Pop Songs 2025 ♫ Bruno Mars, Lady Gaga, Dua Lipa, Adele, Ed Sheeran, The Weeknd #18
rPtxYOyAUKc,2025,Top Hits 2026 🎙️ Top Songs Hot Hit Music Pop Playlist ✨ Pure Tracks
xESVaYvG4xE,2025,Best Acoustic Songs 2025 💖 Chill English Acoustic Love Songs Cover 💖 Acoustic Songs 2025 Playlist
9vHkUSsljXE,2025,2026 Top Hits Clean ♫ Trending Clean Music 2026 🔥 Best Pop Clean Hits for Workout & Classroom 2026
3ihtcnPwkqI,2025,Acoustic songs 2025 🌸 Music 2025 new songs with lyrics that last through love
QK0xIW4bdk0,1980,80s Music Hits - Best Oldies Songs Of 1980s - The Police, Madonna, Cyndi Lauper, Michael Jackson...
88uqHZw0toY,1980,Most Popular Songs Each Month in the 80s | music reaction
JmcA9LIIXWw,1980,Culture Club - Karma Chameleon (Official Music Video)
m3fP9IeuRqM,1980,Greatest Top Hits Reggae Songs 80s 90s | Hard to Say Im Sorry 📀 Best Of All Time Classic Reggae Mix
AiELw8eRl-g,1980,Greatest Hits of the 1980s - English Music to Remember the Best Moments, Madonna, Cyndi Lauper
MNZDCjkzqos,1980,Guess the Song | One Song Each Year 1980-2020 (MUSIC QUIZ) 🎵
AAZQaYKZMTI,1982,Billy Idol - White Wedding Pt 1
qmOLtTGvsbM,1982,Toto - Rosanna (Official HD Video)
6Uxc9eFcZyM,1982,Duran Duran - Save A Prayer (Official Music Video)
zpOULjyy-n8,1984,REO Speedwagon - Cant Fight This Feeling (Official HD Video)
6p-lDYPR2P8,1984,Madonna - Material Girl (Official Video) [HD]
tAUVNTBsaNg,1986,Top Songs of 1985
krWCwvNgLo0,1986,Were These the BEST Songs of Summer 1986? | Vinyl Verdicts
KLjpJZbxkAU,1986,Billy Ocean - Therell Be Sad Songs (To Make You Cry) (Official Video)
_Nib_PyuVhI,1986,Top Songs of 1987
AkYnjR62I38,1987,She Wrote This HAUNTING 1987 Song About a Boy…30 Yrs After it Was a Hit-The Secret Finally Came Out!
nt3EkQ8vLXA,1987,Original Fireman Sam Theme Song 1987 (Alternative footage)
W4XiSFyYRE8,1987,Def Leppard - Love Bites
mwG6g5boyF4,1988,Rod Stewart - Forever Young (Official Video)
5HI_xFQWiYU,1988,When In Rome - The Promise (Official Music Video)
k9OSLXT6emU,1988,The 1988 National Aerobic Championship song - The Champions
kBHw0tNK3eI,1989,Youre an OG If You Remember These 12 Hip-Hop Songs From 1989
w_eawOlefQQ,1989,Let The River Run Wins Original Song: 1989 Oscars
8-BH3c8n1uU,1989,1989 (feat. Fly By Midnight)
H4MOWXemFi0,1990,top songs of 1990
oYBSoF2_M2w,1990,(OLD VERSION) Top 200 Most Streamed 1990s Songs (Spotify) 1990 - 1999
